start_time,end_time,timestep_(s),steps,bodies,threads,execution_time_(s),comments
Mon Nov 14 22:01:53 2022,Mon Nov 14 22:01:58 2022,864000,200.0,40,8,4.905586004257202,
Mon Nov 14 22:02:29 2022,Mon Nov 14 22:03:00 2022,864000,200.0,100,8,31.390923976898193,
Mon Nov 14 22:28:55 2022,Mon Nov 14 22:29:00 2022,864000,200.0,40,8,4.779710292816162,
Mon Nov 14 22:29:31 2022,Mon Nov 14 22:29:36 2022,864000,200.0,40,8,4.57123589515686,
Mon Nov 14 22:29:56 2022,Mon Nov 14 22:30:01 2022,864000,200.0,40,8,4.843212127685547,
Mon Nov 14 22:30:08 2022,Mon Nov 14 22:30:35 2022,864000,200.0,100,8,26.377947092056274,
Mon Nov 14 22:30:51 2022,Mon Nov 14 22:30:55 2022,864000,200.0,40,8,4.098780870437622,
Mon Nov 14 22:31:00 2022,Mon Nov 14 22:31:04 2022,864000,200.0,40,8,4.313557147979736,
Mon Nov 14 22:31:06 2022,Mon Nov 14 22:31:11 2022,864000,200.0,40,8,4.5138514041900635,
Mon Nov 14 22:31:31 2022,Mon Nov 14 22:31:36 2022,864000,200.0,40,8,4.446190357208252,
Mon Nov 14 22:31:40 2022,Mon Nov 14 22:31:44 2022,864000,200.0,40,8,4.546581506729126,
Mon Nov 14 22:31:47 2022,Mon Nov 14 22:31:52 2022,864000,200.0,40,8,4.56823468208313,
Mon Nov 14 22:36:08 2022,Mon Nov 14 22:36:12 2022,864000,200.0,40,8,4.746836185455322,
Mon Nov 14 22:37:13 2022,Mon Nov 14 22:37:19 2022,864000,200.0,40,8,5.036529302597046,
Mon Nov 14 22:37:21 2022,Mon Nov 14 22:37:26 2022,864000,200.0,40,8,5.235491752624512,
Mon Nov 14 22:37:33 2022,Mon Nov 14 22:37:38 2022,864000,200.0,40,8,5.151982545852661,
Mon Nov 14 22:38:11 2022,Mon Nov 14 22:38:16 2022,864000,200.0,40,8,4.476646184921265,
Mon Nov 14 22:38:21 2022,Mon Nov 14 22:38:26 2022,864000,200.0,40,8,4.638880252838135,
Mon Nov 14 22:38:59 2022,Mon Nov 14 22:39:04 2022,864000,200.0,40,8,4.706658840179443,
Mon Nov 14 22:39:07 2022,Mon Nov 14 22:39:11 2022,864000,200.0,40,8,4.354628562927246,
Mon Nov 14 22:39:22 2022,Mon Nov 14 22:39:26 2022,864000,200.0,40,8,4.441105604171753,
Thu Nov 17 11:54:05 2022,Thu Nov 17 11:54:06 2022,864000,200.0,20,4,0.41922903060913086,
Thu Nov 17 11:55:20 2022,Thu Nov 17 11:55:21 2022,864000,200.0,20,4,1.073866367340088,test
Thu Nov 17 11:56:03 2022,Thu Nov 17 11:56:04 2022,864000,200.0,20,4,1.1169335842132568,
Thu Nov 17 11:56:09 2022,Thu Nov 17 11:56:10 2022,864000,200.0,20,4,1.0023646354675293,test
Thu Nov 17 11:58:26 2022,Thu Nov 17 11:58:27 2022,864000,200.0,20,4,1.1131346225738525,
Thu Nov 17 11:58:31 2022,Thu Nov 17 11:58:32 2022,864000,200.0,20,4,1.234616994857788,test
Thu Nov 17 12:02:22 2022,Thu Nov 17 12:02:23 2022,864000,200.0,20,4,1.1699655055999756,test
Thu Nov 24 16:21:14 2022,Thu Nov 24 16:21:14 2022,864000,1.0,5,2,0.008831977844238281,
Thu Nov 24 16:21:21 2022,Thu Nov 24 16:21:21 2022,864000,1.0,10,2,0.02834177017211914,
Thu Nov 24 16:21:31 2022,Thu Nov 24 16:21:31 2022,864000,1.0,10,4,0.030928373336791992,
Thu Nov 24 22:36:02 2022,Thu Nov 24 22:36:02 2022,864000,1.0,5,2,0.024341583251953125,
Thu Nov 24 22:36:32 2022,Thu Nov 24 22:36:32 2022,864000,1.0,5,2,0.027660608291625977,
Thu Nov 24 22:36:40 2022,Thu Nov 24 22:36:40 2022,864000,1.0,5,1,0.02506113052368164,
Thu Nov 24 22:37:20 2022,Thu Nov 24 22:37:20 2022,864000,1.0,5,2,0.023201942443847656,
Thu Nov 24 22:37:30 2022,Thu Nov 24 22:37:30 2022,864000,1.0,5,3,0.0163881778717041,
Thu Nov 24 22:37:34 2022,Thu Nov 24 22:37:35 2022,864000,1.0,5,3,0.015422821044921875,
Thu Nov 24 22:37:39 2022,Thu Nov 24 22:37:39 2022,864000,1.0,5,3,0.015025138854980469,
Thu Nov 24 22:37:42 2022,Thu Nov 24 22:37:42 2022,864000,1.0,5,3,0.022084951400756836,
Thu Nov 24 22:37:44 2022,Thu Nov 24 22:37:44 2022,864000,1.0,5,4,0.010435342788696289,
Thu Nov 24 22:37:57 2022,Thu Nov 24 22:37:57 2022,864000,1.0,5,5,0.018268585205078125,
Thu Nov 24 22:39:01 2022,Thu Nov 24 22:39:01 2022,864000,1.0,10,1,0.04145407676696777,
Thu Nov 24 22:39:08 2022,Thu Nov 24 22:39:08 2022,864000,1.0,10,2,0.03418397903442383,
Thu Nov 24 22:39:35 2022,Thu Nov 24 22:39:35 2022,864000,1.0,10,5,0.02910780906677246,
Thu Nov 24 22:39:46 2022,Thu Nov 24 22:39:46 2022,864000,1.0,10,10,0.041188955307006836,
Thu Nov 24 22:39:52 2022,Thu Nov 24 22:39:52 2022,864000,1.0,10,28,0.023743629455566406,
