start_time,end_time,processes,timestep_(s),steps,bodies,execution_time_(s),comments,ntask_per_code,p
Sat Nov 26 23:15:42 2022,Sun Nov 27 00:03:30 2022,2,864000.0,200,1000,2867.870437145233,a,,
Sat Nov 26 23:15:42 2022,Sun Nov 27 00:04:40 2022,2,864000.0,200,1000,2937.9328413009644,a,,
Sat Nov 26 23:15:42 2022,Sun Nov 27 00:04:48 2022,2,864000.0,200,1000,2946.4917500019073,a,,
Sun Nov 27 00:03:32 2022,Sun Nov 27 00:20:58 2022,4,864000.0,200,1000,1046.487865447998,a,,
Sun Nov 27 00:04:50 2022,Sun Nov 27 00:25:18 2022,4,864000.0,200,1000,1228.0131204128265,a,,
Sun Nov 27 00:04:42 2022,Sun Nov 27 00:26:02 2022,4,864000.0,200,1000,1280.7337391376495,a,,
Sun Nov 27 00:21:00 2022,Sun Nov 27 00:30:20 2022,8,864000.0,200,1000,559.5275325775146,a,,
Sun Nov 27 00:25:20 2022,Sun Nov 27 00:34:41 2022,8,864000.0,200,1000,561.6749374866486,a,,
Sun Nov 27 00:26:04 2022,Sun Nov 27 00:34:59 2022,8,864000.0,200,1000,534.8528747558594,a,,
Sun Nov 27 00:30:22 2022,Sun Nov 27 00:36:27 2022,12,864000.0,200,1000,365.88581371307373,a,,
Sun Nov 27 00:34:43 2022,Sun Nov 27 00:40:56 2022,12,864000.0,200,1000,373.0703694820404,a,,
Sun Nov 27 00:35:01 2022,Sun Nov 27 00:41:21 2022,12,864000.0,200,1000,379.9574408531189,a,,
Sun Nov 27 00:36:29 2022,Sun Nov 27 00:41:08 2022,16,864000.0,200,1000,278.4861755371094,a,,
Sun Nov 27 00:40:58 2022,Sun Nov 27 00:45:42 2022,16,864000.0,200,1000,283.94807744026184,a,,
Sun Nov 27 00:41:23 2022,Sun Nov 27 00:46:04 2022,16,864000.0,200,1000,280.8640367984772,a,,
Sun Nov 27 00:41:10 2022,Sun Nov 27 00:45:25 2022,20,864000.0,200,1000,255.15413784980774,a,,
Sun Nov 27 00:45:44 2022,Sun Nov 27 00:49:46 2022,20,864000.0,200,1000,241.97422766685486,a,,
Sun Nov 27 00:46:06 2022,Sun Nov 27 00:50:14 2022,20,864000.0,200,1000,248.46737146377563,a,,
Sun Nov 27 00:45:27 2022,Sun Nov 27 00:49:16 2022,24,864000.0,200,1000,228.65765857696533,a,,
Sun Nov 27 00:49:48 2022,Sun Nov 27 00:53:34 2022,24,864000.0,200,1000,226.04175209999084,a,,
Sun Nov 27 00:50:16 2022,Sun Nov 27 00:54:07 2022,24,864000.0,200,1000,230.65351343154907,a,,
Sun Nov 27 00:49:18 2022,Sun Nov 27 00:53:04 2022,28,864000.0,200,1000,226.0890531539917,a,,
Sun Nov 27 00:53:37 2022,Sun Nov 27 00:57:22 2022,28,864000.0,200,1000,225.46829104423523,a,,
Sun Nov 27 00:54:09 2022,Sun Nov 27 00:57:54 2022,28,864000.0,200,1000,224.88142323493958,a,,
