start_time,end_time,processes,timestep_(s),steps,bodies,execution_time_(s),comments
Tue Nov 22 09:17:04 2022,Tue Nov 22 09:17:05 2022,10,864000.0,200,10,0.6111390590667725,
Tue Nov 22 09:17:46 2022,Tue Nov 22 09:17:46 2022,10,864000.0,200,10,0.6114687919616699,
Tue Nov 22 09:18:23 2022,Tue Nov 22 09:18:26 2022,10,864000.0,200,50,2.9906086921691895,
Tue Nov 22 12:40:11 2022,Tue Nov 22 12:40:18 2022,10,864000.0,200,100,7.32977557182312,
Tue Nov 22 12:40:36 2022,Tue Nov 22 12:40:37 2022,10,864000.0,200,10,0.5294914245605469,
Tue Nov 22 17:29:20 2022,Tue Nov 22 17:29:23 2022,10,864000.0,200,50,3.0563108921051025,
Tue Nov 22 17:36:18 2022,Tue Nov 22 17:36:24 2022,28,864000.0,200,50,6.325844764709473,
Tue Nov 22 20:59:59 2022,Tue Nov 22 21:00:00 2022,4,864000.0,200,25,1.1377394199371338,
Thu Nov 24 11:12:33 2022,Thu Nov 24 11:12:36 2022,4,864000.0,200,50,3.314239025115967,
Thu Nov 24 12:05:14 2022,Thu Nov 24 12:05:18 2022,16,864000.0,200,50,3.907560110092163,
Thu Nov 24 12:13:11 2022,Thu Nov 24 12:13:15 2022,16,864000.0,200,50,4.093287944793701,
Thu Nov 24 12:37:09 2022,Thu Nov 24 12:37:15 2022,28,864000.0,200,50,6.215297698974609,1 node, ntask_per_code = 28
Thu Nov 24 12:47:02 2022,Thu Nov 24 12:47:12 2022,28,864000.0,200,50,9.965408563613892,
Thu Nov 24 14:09:09 2022,Thu Nov 24 14:09:15 2022,28,864000.0,200,50,6.211571931838989,1 node, ntask_per_code = 28
Thu Nov 24 14:09:17 2022,Thu Nov 24 14:09:30 2022,28,864000.0,200,100,13.122819662094116,1 node, ntask_per_code = 28
Thu Nov 24 14:09:31 2022,Thu Nov 24 14:10:58 2022,28,864000.0,200,500,86.60989475250244,1 node, ntask_per_code = 28
Thu Nov 24 14:11:00 2022,Thu Nov 24 14:15:08 2022,28,864000.0,200,1000,248.16950273513794,1 node, ntask_per_code = 28
Thu Nov 24 14:13:11 2022,Thu Nov 24 15:17:29 2022,28,864000.0,200,5000,3858.816492319107,1 node, ntask_per_code = 28
Fri Nov 25 13:59:22 2022,Fri Nov 25 14:11:00 2022,2,864000.0,200,500,698.1909308433533,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 13:59:22 2022,Fri Nov 25 14:11:29 2022,2,864000.0,200,500,726.9862484931946,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 13:59:22 2022,Fri Nov 25 14:11:31 2022,2,864000.0,200,500,729.8230621814728,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:11:01 2022,Fri Nov 25 14:15:14 2022,4,864000.0,200,500,252.60512709617615,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:11:30 2022,Fri Nov 25 14:16:28 2022,4,864000.0,200,500,298.30752754211426,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:11:33 2022,Fri Nov 25 14:17:03 2022,4,864000.0,200,500,329.9935677051544,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:15:15 2022,Fri Nov 25 14:17:31 2022,8,864000.0,200,500,136.28114533424377,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:16:29 2022,Fri Nov 25 14:18:51 2022,8,864000.0,200,500,141.20049810409546,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:17:33 2022,Fri Nov 25 14:19:07 2022,12,864000.0,200,500,94.00866651535034,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:17:04 2022,Fri Nov 25 14:19:14 2022,8,864000.0,200,500,130.06955361366272,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:18:52 2022,Fri Nov 25 14:20:31 2022,12,864000.0,200,500,98.59540462493896,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:19:09 2022,Fri Nov 25 14:20:35 2022,16,864000.0,200,500,86.41565084457397,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:19:15 2022,Fri Nov 25 14:20:54 2022,12,864000.0,200,500,99.2048511505127,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:20:32 2022,Fri Nov 25 14:21:55 2022,16,864000.0,200,500,83.29881405830383,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:20:37 2022,Fri Nov 25 14:21:56 2022,20,864000.0,200,500,79.35976552963257,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:20:56 2022,Fri Nov 25 14:22:21 2022,16,864000.0,200,500,84.70061254501343,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:21:57 2022,Fri Nov 25 14:23:18 2022,20,864000.0,200,500,80.46783185005188,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:21:58 2022,Fri Nov 25 14:23:19 2022,24,864000.0,200,500,81.05811500549316,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:22:22 2022,Fri Nov 25 14:23:43 2022,20,864000.0,200,500,80.78738737106323,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:23:19 2022,Fri Nov 25 14:24:42 2022,24,864000.0,200,500,82.44607615470886,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:23:21 2022,Fri Nov 25 14:24:48 2022,28,864000.0,200,500,86.88260197639465,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:23:45 2022,Fri Nov 25 14:25:10 2022,24,864000.0,200,500,84.77718687057495,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:24:44 2022,Fri Nov 25 14:26:11 2022,28,864000.0,200,500,87.21069264411926,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 14:25:11 2022,Fri Nov 25 14:26:39 2022,28,864000.0,200,500,87.58218574523926,1 node, ntask_per_code = 28, p comparison
Fri Nov 25 13:55:24 2022,Fri Nov 25 16:11:18 2022,28,864000.0,200,6500,8154.106454133987,1 node, ntask_per_code = 28
