start_time,end_time,timestep_(s),steps,bodies,threads,execution_time_(s),comments
Sun Nov 27 11:47:42 2022,Sun Nov 27 11:48:25 2022,864000.0,200,100,28,42.98592662811279,chunksize 1
Sun Nov 27 11:47:42 2022,Sun Nov 27 11:48:25 2022,864000.0,200,100,28,43.02846312522888,chunksize 1
Sun Nov 27 11:47:42 2022,Sun Nov 27 11:48:26 2022,864000.0,200,100,28,43.58136463165283,chunksize 1
Sun Nov 27 11:48:26 2022,Sun Nov 27 11:49:09 2022,864000.0,200,100,28,43.52468705177307,chunksize 2
Sun Nov 27 11:48:26 2022,Sun Nov 27 11:49:10 2022,864000.0,200,100,28,43.427090644836426,chunksize 2
Sun Nov 27 11:48:26 2022,Sun Nov 27 11:49:12 2022,864000.0,200,100,28,45.99419641494751,chunksize 2
Sun Nov 27 11:49:10 2022,Sun Nov 27 11:49:53 2022,864000.0,200,100,28,43.20410776138306,chunksize 4
Sun Nov 27 11:49:10 2022,Sun Nov 27 11:49:54 2022,864000.0,200,100,28,44.62112355232239,chunksize 4
Sun Nov 27 11:49:12 2022,Sun Nov 27 11:49:56 2022,864000.0,200,100,28,44.16459774971008,chunksize 4
Sun Nov 27 11:49:54 2022,Sun Nov 27 11:50:35 2022,864000.0,200,100,28,41.43024396896362,chunksize 8
Sun Nov 27 11:49:57 2022,Sun Nov 27 11:50:39 2022,864000.0,200,100,28,41.80474019050598,chunksize 8
Sun Nov 27 11:49:55 2022,Sun Nov 27 11:50:39 2022,864000.0,200,100,28,43.86924624443054,chunksize 8
Sun Nov 27 11:50:36 2022,Sun Nov 27 11:51:17 2022,864000.0,200,100,28,41.70497512817383,chunksize 12
Sun Nov 27 11:50:39 2022,Sun Nov 27 11:51:22 2022,864000.0,200,100,28,42.59652352333069,chunksize 12
Sun Nov 27 11:50:39 2022,Sun Nov 27 11:51:23 2022,864000.0,200,100,28,43.515297174453735,chunksize 12
Sun Nov 27 11:51:18 2022,Sun Nov 27 11:51:57 2022,864000.0,200,100,28,39.608224630355835,chunksize 16
Sun Nov 27 11:51:23 2022,Sun Nov 27 11:52:05 2022,864000.0,200,100,28,41.756649017333984,chunksize 16
Sun Nov 27 11:51:22 2022,Sun Nov 27 11:52:05 2022,864000.0,200,100,28,42.58844614028931,chunksize 16
Sun Nov 27 11:51:58 2022,Sun Nov 27 11:52:39 2022,864000.0,200,100,28,41.5340416431427,chunksize 20
Sun Nov 27 11:52:05 2022,Sun Nov 27 11:52:45 2022,864000.0,200,100,28,40.272533655166626,chunksize 20
Sun Nov 27 11:52:05 2022,Sun Nov 27 11:52:48 2022,864000.0,200,100,28,42.199053049087524,chunksize 20
Sun Nov 27 11:52:40 2022,Sun Nov 27 11:53:20 2022,864000.0,200,100,28,40.18766164779663,chunksize 24
Sun Nov 27 11:52:46 2022,Sun Nov 27 11:53:27 2022,864000.0,200,100,28,41.10208773612976,chunksize 24
Sun Nov 27 11:52:48 2022,Sun Nov 27 11:53:30 2022,864000.0,200,100,28,42.272217750549316,chunksize 24
