start_time,end_time,timestep_(s),steps,bodies,threads,execution_time_(s),comments
Fri Nov 25 21:47:19 2022,Fri Nov 25 22:04:24 2022,864000.0,200,500,2,1025.2380409240723,dynamic
Fri Nov 25 21:47:13 2022,Fri Nov 25 22:04:29 2022,864000.0,200,500,2,1035.6608703136444,dynamic
Fri Nov 25 21:52:27 2022,Fri Nov 25 22:10:45 2022,864000.0,200,500,2,1097.2001328468323,dynamic
Fri Nov 25 22:04:30 2022,Fri Nov 25 22:21:56 2022,864000.0,200,500,4,1045.7039248943329,dynamic
Fri Nov 25 22:04:25 2022,Fri Nov 25 22:22:12 2022,864000.0,200,500,4,1066.9923977851868,dynamic
Fri Nov 25 22:10:45 2022,Fri Nov 25 22:28:47 2022,864000.0,200,500,4,1081.7305400371552,dynamic
Fri Nov 25 22:22:13 2022,Fri Nov 25 22:39:45 2022,864000.0,200,500,8,1052.0381944179535,dynamic
Fri Nov 25 22:21:56 2022,Fri Nov 25 22:40:19 2022,864000.0,200,500,8,1102.8018834590912,dynamic
Fri Nov 25 22:28:48 2022,Fri Nov 25 22:46:35 2022,864000.0,200,500,8,1067.614002943039,dynamic
Fri Nov 25 22:40:20 2022,Fri Nov 25 22:58:12 2022,864000.0,200,500,12,1071.8771576881409,dynamic
Fri Nov 25 22:39:45 2022,Fri Nov 25 22:58:15 2022,864000.0,200,500,12,1109.3748860359192,dynamic
Fri Nov 25 22:46:36 2022,Fri Nov 25 23:04:45 2022,864000.0,200,500,12,1088.8980815410614,dynamic
Fri Nov 25 22:58:12 2022,Fri Nov 25 23:16:09 2022,864000.0,200,500,16,1076.9412167072296,dynamic
Fri Nov 25 22:58:16 2022,Fri Nov 25 23:16:26 2022,864000.0,200,500,16,1090.308587551117,dynamic
Fri Nov 25 23:04:46 2022,Fri Nov 25 23:22:30 2022,864000.0,200,500,16,1063.7582423686981,dynamic
Fri Nov 25 23:16:27 2022,Fri Nov 25 23:34:39 2022,864000.0,200,500,20,1092.300659418106,dynamic
Fri Nov 25 23:16:10 2022,Fri Nov 25 23:34:43 2022,864000.0,200,500,20,1112.6587090492249,dynamic
Fri Nov 25 23:22:30 2022,Fri Nov 25 23:41:44 2022,864000.0,200,500,20,1154.0354316234589,dynamic
Fri Nov 25 23:34:44 2022,Fri Nov 25 23:52:24 2022,864000.0,200,500,24,1060.641654253006,dynamic
Fri Nov 25 23:34:40 2022,Fri Nov 25 23:52:54 2022,864000.0,200,500,24,1093.7841455936432,dynamic
Fri Nov 25 23:41:45 2022,Fri Nov 25 23:59:44 2022,864000.0,200,500,24,1079.031818151474,dynamic
Fri Nov 25 23:52:25 2022,Sat Nov 26 00:10:40 2022,864000.0,200,500,28,1094.6681261062622,dynamic
Fri Nov 25 23:52:54 2022,Sat Nov 26 00:11:21 2022,864000.0,200,500,28,1106.1901466846466,dynamic
Fri Nov 25 23:59:45 2022,Sat Nov 26 00:18:35 2022,864000.0,200,500,28,1130.3944036960602,dynamic
