start_time,end_time,timestep_(s),steps,bodies,threads,execution_time_(s),comments
Sat Nov 26 10:26:58 2022,Sat Nov 26 10:44:03 2022,864000.0,200,500,2,1024.5799372196198,guided
Sat Nov 26 10:35:08 2022,Sat Nov 26 10:52:43 2022,864000.0,200,500,2,1055.3381958007812,guided
Sat Nov 26 10:36:00 2022,Sat Nov 26 10:52:57 2022,864000.0,200,500,2,1016.5710065364838,guided
Sat Nov 26 10:44:04 2022,Sat Nov 26 11:01:26 2022,864000.0,200,500,4,1041.7694065570831,guided
Sat Nov 26 10:52:44 2022,Sat Nov 26 11:09:59 2022,864000.0,200,500,4,1035.3753442764282,guided
Sat Nov 26 10:52:58 2022,Sat Nov 26 11:10:40 2022,864000.0,200,500,4,1062.7090363502502,guided
Sat Nov 26 11:01:26 2022,Sat Nov 26 11:19:35 2022,864000.0,200,500,8,1088.4073832035065,guided
Sat Nov 26 11:10:00 2022,Sat Nov 26 11:27:57 2022,864000.0,200,500,8,1076.2753896713257,guided
Sat Nov 26 11:10:41 2022,Sat Nov 26 11:28:08 2022,864000.0,200,500,8,1046.6445553302765,guided
Sat Nov 26 11:19:35 2022,Sat Nov 26 11:38:36 2022,864000.0,200,500,12,1140.442881345749,guided
Sat Nov 26 11:27:57 2022,Sat Nov 26 11:45:28 2022,864000.0,200,500,12,1051.1121380329132,guided
Sat Nov 26 11:28:08 2022,Sat Nov 26 11:45:35 2022,864000.0,200,500,12,1046.9614181518555,guided
Sat Nov 26 11:38:37 2022,Sat Nov 26 11:58:09 2022,864000.0,200,500,16,1171.9536719322205,guided
Sat Nov 26 11:45:29 2022,Sat Nov 26 12:02:53 2022,864000.0,200,500,16,1044.1377143859863,guided
Sat Nov 26 11:45:36 2022,Sat Nov 26 12:03:57 2022,864000.0,200,500,16,1100.4666969776154,guided
Sat Nov 26 11:58:09 2022,Sat Nov 26 12:15:37 2022,864000.0,200,500,20,1047.3718347549438,guided
Sat Nov 26 12:02:54 2022,Sat Nov 26 12:21:00 2022,864000.0,200,500,20,1085.4977490901947,guided
Sat Nov 26 12:03:57 2022,Sat Nov 26 12:21:58 2022,864000.0,200,500,20,1080.2739298343658,guided
Sat Nov 26 12:15:38 2022,Sat Nov 26 12:33:32 2022,864000.0,200,500,24,1074.537974357605,guided
Sat Nov 26 12:21:00 2022,Sat Nov 26 12:39:08 2022,864000.0,200,500,24,1087.292004585266,guided
Sat Nov 26 12:21:58 2022,Sat Nov 26 12:40:37 2022,864000.0,200,500,24,1118.7673380374908,guided
Sat Nov 26 12:33:33 2022,Sat Nov 26 12:52:05 2022,864000.0,200,500,28,1112.2107028961182,guided
Sat Nov 26 12:39:08 2022,Sat Nov 26 12:58:20 2022,864000.0,200,500,28,1151.6360943317413,guided
Sat Nov 26 12:40:38 2022,Sat Nov 26 12:59:12 2022,864000.0,200,500,28,1113.6783151626587,guided
