start_time,end_time,timestep_(s),steps,bodies,threads,execution_time_(s),comments
Fri Nov 25 09:02:33 2022,Fri Nov 25 09:19:33 2022,864000.0,200,500,2,1019.8384761810303,static
Fri Nov 25 09:02:38 2022,Fri Nov 25 09:19:46 2022,864000.0,200,500,2,1027.1583251953125,static
Fri Nov 25 09:03:31 2022,Fri Nov 25 09:20:25 2022,864000.0,200,500,2,1013.6680264472961,static
Fri Nov 25 09:19:33 2022,Fri Nov 25 09:36:39 2022,864000.0,200,500,4,1026.0868813991547,static
Fri Nov 25 09:19:46 2022,Fri Nov 25 09:37:17 2022,864000.0,200,500,4,1050.3408806324005,static
Fri Nov 25 09:20:26 2022,Fri Nov 25 09:38:14 2022,864000.0,200,500,4,1067.7347173690796,static
Fri Nov 25 09:36:40 2022,Fri Nov 25 09:53:32 2022,864000.0,200,500,8,1012.0316832065582,static
Fri Nov 25 09:37:17 2022,Fri Nov 25 09:54:44 2022,864000.0,200,500,8,1046.4639751911163,static
Fri Nov 25 09:38:14 2022,Fri Nov 25 09:55:36 2022,864000.0,200,500,8,1041.832285642624,static
Fri Nov 25 09:53:33 2022,Fri Nov 25 10:11:04 2022,864000.0,200,500,12,1051.4444773197174,static
Fri Nov 25 09:54:45 2022,Fri Nov 25 10:12:35 2022,864000.0,200,500,12,1070.019460439682,static
Fri Nov 25 09:55:37 2022,Fri Nov 25 10:13:02 2022,864000.0,200,500,12,1045.107096672058,static
Fri Nov 25 10:11:05 2022,Fri Nov 25 10:30:00 2022,864000.0,200,500,16,1135.248538017273,static
Fri Nov 25 10:12:35 2022,Fri Nov 25 10:30:12 2022,864000.0,200,500,16,1056.6289868354797,static
Fri Nov 25 10:13:03 2022,Fri Nov 25 10:30:16 2022,864000.0,200,500,16,1033.375660419464,static
Fri Nov 25 10:30:13 2022,Fri Nov 25 10:47:51 2022,864000.0,200,500,20,1058.5496046543121,static
Fri Nov 25 10:30:17 2022,Fri Nov 25 10:47:52 2022,864000.0,200,500,20,1055.025545835495,static
Fri Nov 25 10:30:01 2022,Fri Nov 25 10:47:55 2022,864000.0,200,500,20,1073.989075422287,static
Fri Nov 25 10:47:56 2022,Fri Nov 25 11:05:16 2022,864000.0,200,500,24,1039.580169916153,static
Fri Nov 25 10:47:52 2022,Fri Nov 25 11:05:51 2022,864000.0,200,500,24,1078.5031299591064,static
Fri Nov 25 10:47:53 2022,Fri Nov 25 11:06:07 2022,864000.0,200,500,24,1094.6830427646637,static
Fri Nov 25 11:05:16 2022,Fri Nov 25 11:23:15 2022,864000.0,200,500,28,1079.0246171951294,static
Fri Nov 25 11:05:51 2022,Fri Nov 25 11:24:19 2022,864000.0,200,500,28,1107.7577834129333,static
Fri Nov 25 11:05:54 2022,Fri Nov 25 11:24:26 2022,864000.0,200,500,28,1117.4354345571333,static
