start_time,end_time,processes,timestep_(s),steps,bodies,execution_time_(s),comments
Sun Nov 27 16:49:46 2022,Sun Nov 27 16:49:53 2022,28,864000.0,200,50,6.339300870895386,d
Sun Nov 27 16:49:46 2022,Sun Nov 27 16:49:53 2022,28,864000.0,200,50,6.4115331172943115,d
Sun Nov 27 16:49:54 2022,Sun Nov 27 16:50:01 2022,28,864000.0,200,50,6.89255166053772,d
Sun Nov 27 16:49:54 2022,Sun Nov 27 16:50:07 2022,28,864000.0,200,100,13.01945424079895,d
Sun Nov 27 16:49:54 2022,Sun Nov 27 16:50:08 2022,28,864000.0,200,100,13.724136590957642,d
Sun Nov 27 16:50:03 2022,Sun Nov 27 16:50:16 2022,28,864000.0,200,100,12.816426753997803,d
Sun Nov 27 16:50:09 2022,Sun Nov 27 16:51:36 2022,28,864000.0,200,500,86.78892660140991,d
Sun Nov 27 16:50:09 2022,Sun Nov 27 16:51:37 2022,28,864000.0,200,500,87.67983627319336,d
Sun Nov 27 16:50:17 2022,Sun Nov 27 16:51:44 2022,28,864000.0,200,500,86.40277004241943,d
Sun Nov 27 16:51:39 2022,Sun Nov 27 16:55:28 2022,28,864000.0,200,1000,229.10665941238403,d
Sun Nov 27 16:51:46 2022,Sun Nov 27 16:55:30 2022,28,864000.0,200,1000,224.68022918701172,d
Sun Nov 27 16:51:38 2022,Sun Nov 27 16:55:38 2022,28,864000.0,200,1000,240.893413066864,d
Sun Nov 27 16:55:33 2022,Sun Nov 27 17:12:57 2022,28,864000.0,200,2500,1044.383768081665,d
Sun Nov 27 16:55:30 2022,Sun Nov 27 17:13:01 2022,28,864000.0,200,2500,1050.208048582077,d
Sun Nov 27 16:55:41 2022,Sun Nov 27 17:13:06 2022,28,864000.0,200,2500,1044.8317942619324,d
Mon Nov 28 09:08:21 2022,Mon Nov 28 10:14:01 2022,28,864000.0,200,5000,3940.5320496559143,d
Mon Nov 28 09:14:21 2022,Mon Nov 28 10:20:42 2022,28,864000.0,200,5000,3981.0236349105835,d
Mon Nov 28 09:14:18 2022,Mon Nov 28 10:23:29 2022,28,864000.0,200,5000,4151.651832103729,d
